Timestamp,Warning_Type,Warning_Message,Player_Speed,Player_X,Player_Y
2025-07-23 10:10:45.518,PROXIMITY,Too close to traffic! Maintain safe distance.,183.16666666666643,650.0,241.16944444444448
2025-07-23 10:10:45.683,PROXIMITY,Too close to traffic! Maintain safe distance.,194.833333333333,650.0,272.7666666666666
2025-07-23 10:10:45.864,PROXIMITY,Too close to traffic! Maintain safe distance.,207.66666666666623,650.0,309.7694444444443
2025-07-23 10:10:46.044,PROXIMITY,Too close to traffic! Maintain safe distance.,220.49999999999946,650.0,349.1249999999999
2025-07-23 10:10:46.206,PROXIMITY,Too close to traffic! Maintain safe distance.,232.16666666666603,650.0,386.94444444444423
2025-07-23 10:10:46.422,PROXIMITY,Too close to traffic! Maintain safe distance.,247.33333333333258,650.0,439.01666666666614
2025-07-23 10:10:46.470,OVERSPEEDING,Overspeeding! Slow down to avoid accidents.,250.83333333333255,650.0,451.49999999999943
2025-07-23 10:10:46.586,PROXIMITY,Too close to traffic! Maintain safe distance.,258.9999999999992,650.0,481.3083333333327
2025-07-23 10:10:46.782,PROXIMITY,Too close to traffic! Maintain safe distance.,272.99999999999943,631.6995473037426,530.7010420507238
2025-07-23 10:10:46.963,PROXIMITY,Too close to traffic! Maintain safe distance.,285.833333333333,607.1522144107629,575.784737096187
2025-07-23 10:10:47.143,PROXIMITY,Too close to traffic! Maintain safe distance.,298.6666666666665,581.4797954268547,622.9347681645673
2025-07-23 10:10:47.308,PROXIMITY,Too close to traffic! Maintain safe distance.,310.33333333333337,557.1649183377856,667.5915342796759
2025-07-23 10:10:47.491,PROXIMITY,Too close to traffic! Maintain safe distance.,323.1666666666669,529.3446077257419,718.6863886645344
2025-07-23 10:10:47.655,PROXIMITY,Too close to traffic! Maintain safe distance.,327.83333333333366,503.24447006263756,766.6219689647678
2025-07-23 10:10:47.657,SWERVING,Swerving detected! Please keep your lane on highways.,327.83333333333366,503.24447006263756,766.6219689647678
2025-07-23 10:10:47.670,COLLISION,COLLISION! Vehicle contact detected!,329.00000000000034,500.6223685945238,771.4377272991695
