frame,vehicle_id,x_position,y_position,spawn_x,spawn_y,relative_x,relative_y,speed_px_per_s
36,1,207.55208,13.194445,244.01042,297.91666,-36.458344,-284.7222,0
37,1,206.77083,9.722222,244.01042,297.91666,-37.239594,-288.19443,0
37,1,206.77083,9.722222,244.01042,297.91666,-37.239594,-288.19443,0
38,1,206.25,6.9444447,244.01042,297.91666,-37.76042,-290.9722,0
38,1,206.25,6.9444447,244.01042,297.91666,-37.76042,-290.9722,0
39,1,205.98958,2.0833333,244.01042,297.91666,-38.020844,-295.8333,0
39,1,205.98958,2.0833333,244.01042,297.91666,-38.020844,-295.8333,0
17,19,397.39584,375.69446,397.39584,375.69446,0.0,0.0,0
17,19,397.39584,375.69446,397.39584,375.69446,0.0,0.0,0
18,19,395.3125,361.1111,397.39584,375.69446,-2.0833435,-14.5833435,0
18,19,395.3125,361.1111,397.39584,375.69446,-2.0833435,-14.5833435,0
18,22,117.96875,592.3611,117.96875,592.3611,0.0,0.0,0
18,22,117.96875,592.3611,117.96875,592.3611,0.0,0.0,0
19,22,119.53125,561.80554,117.96875,592.3611,1.5625,-30.555542,0
19,22,119.53125,561.80554,117.96875,592.3611,1.5625,-30.555542,0
20,22,121.09375,534.7222,117.96875,592.3611,3.125,-57.638855,0
20,22,121.09375,534.7222,117.96875,592.3611,3.125,-57.638855,0
21,22,122.65625,509.02777,117.96875,592.3611,4.6875,-83.33331,0
21,22,122.65625,509.02777,117.96875,592.3611,4.6875,-83.33331,0
22,22,124.739586,484.02777,117.96875,592.3611,6.770836,-108.33331,0
22,22,124.739586,484.02777,117.96875,592.3611,6.770836,-108.33331,0
23,22,125.0,459.02777,117.96875,592.3611,7.03125,-133.33331,0
23,22,125.0,459.02777,117.96875,592.3611,7.03125,-133.33331,0
24,22,125.0,438.19446,117.96875,592.3611,7.03125,-154.16663,0
24,22,125.0,438.19446,117.96875,592.3611,7.03125,-154.16663,0
25,22,124.739586,418.75,117.96875,592.3611,6.770836,-173.61108,0
25,22,124.739586,418.75,117.96875,592.3611,6.770836,-173.61108,0
26,22,125.520836,398.6111,117.96875,592.3611,7.552086,-193.74997,0
26,22,125.520836,398.6111,117.96875,592.3611,7.552086,-193.74997,0
27,22,130.98958,379.16666,117.96875,592.3611,13.020828,-213.19443,0
27,22,130.98958,379.16666,117.96875,592.3611,13.020828,-213.19443,0
28,22,131.77083,361.1111,117.96875,592.3611,13.802078,-231.24997,0
28,22,131.77083,361.1111,117.96875,592.3611,13.802078,-231.24997,0
29,22,133.33333,344.44446,117.96875,592.3611,15.364578,-247.91663,0
29,22,133.33333,344.44446,117.96875,592.3611,15.364578,-247.91663,0
30,22,133.59375,327.08334,117.96875,592.3611,15.625,-265.27774,0
30,22,133.59375,327.08334,117.96875,592.3611,15.625,-265.27774,0
31,22,134.375,311.80554,117.96875,592.3611,16.40625,-280.55554,0
31,22,134.375,311.80554,117.96875,592.3611,16.40625,-280.55554,0
32,22,134.63542,296.52777,117.96875,592.3611,16.666672,-295.8333,0
32,22,134.63542,296.52777,117.96875,592.3611,16.666672,-295.8333,0
33,22,134.63542,282.6389,117.96875,592.3611,16.666672,-309.7222,0
33,22,134.63542,282.6389,117.96875,592.3611,16.666672,-309.7222,0
34,22,134.63542,272.22223,117.96875,592.3611,16.666672,-320.13885,0
34,22,134.63542,272.22223,117.96875,592.3611,16.666672,-320.13885,0
35,22,134.63542,256.94446,117.96875,592.3611,16.666672,-335.41663,0
35,22,134.63542,256.94446,117.96875,592.3611,16.666672,-335.41663,0
36,22,135.67708,245.83333,117.96875,592.3611,17.708328,-346.52777,0
36,22,135.67708,245.83333,117.96875,592.3611,17.708328,-346.52777,0
37,22,139.32292,234.72223,117.96875,592.3611,21.354172,-357.63885,0
37,22,139.32292,234.72223,117.96875,592.3611,21.354172,-357.63885,0
38,22,140.36458,222.91667,117.96875,592.3611,22.395828,-369.4444,0
38,22,140.36458,222.91667,117.96875,592.3611,22.395828,-369.4444,0
39,22,140.88542,213.19444,117.96875,592.3611,22.916672,-379.16663,0
39,22,140.88542,213.19444,117.96875,592.3611,22.916672,-379.16663,0
